time_s,speed_rpm,probe_A_amp_um,probe_A_phase_deg,probe_B_amp_um,probe_B_phase_deg
0.0,300.0,3.195,33.50,2.803,135.24
1.0,337.2,3.118,27.97,2.811,123.55
2.0,374.4,3.213,34.36,3.370,137.62
3.0,411.7,2.988,29.14,2.654,130.98
4.0,448.9,2.935,26.06,2.832,131.03
5.0,486.1,3.036,39.39,2.527,125.94
6.0,523.3,3.116,34.83,2.564,121.40
7.0,560.6,2.838,40.63,2.949,126.11
8.0,597.8,3.619,38.54,3.300,127.01
9.0,635.0,3.446,28.02,2.446,120.83
10.0,672.2,3.877,36.44,2.971,118.76
11.0,709.4,3.642,31.03,3.008,116.15
12.0,746.7,3.553,32.61,3.278,129.62
13.0,783.9,3.459,28.30,3.097,123.81
14.0,821.1,3.331,31.27,2.837,109.54
15.0,858.3,3.318,24.92,3.248,119.96
16.0,895.6,3.796,28.55,3.050,125.86
17.0,932.8,3.830,30.97,3.317,119.31
18.0,970.0,4.015,31.57,2.999,123.92
19.0,1007.2,3.849,33.84,3.229,123.75
20.0,1044.4,3.824,35.26,3.611,125.32
21.0,1081.7,4.148,24.10,4.021,127.15
22.0,1118.9,3.632,25.32,3.377,119.35
23.0,1156.1,3.664,32.46,3.516,122.34
24.0,1193.3,3.967,29.25,3.763,114.95
25.0,1230.6,3.825,21.28,3.625,122.54
26.0,1267.8,4.281,27.24,3.873,118.86
27.0,1305.0,4.709,28.14,3.343,117.60
28.0,1342.2,4.625,23.20,4.055,113.04
29.0,1379.4,4.403,19.68,3.801,112.24
30.0,1416.7,4.904,19.92,3.868,115.84
31.0,1453.9,4.661,22.26,3.862,109.81
32.0,1491.1,4.670,23.98,4.524,112.16
33.0,1528.3,4.791,26.16,4.376,114.74
34.0,1565.6,4.931,19.10,4.333,112.34
35.0,1602.8,4.884,18.46,4.598,123.83
36.0,1640.0,5.321,15.92,4.704,113.09
37.0,1677.2,5.247,21.09,4.709,107.26
38.0,1714.4,5.112,20.89,4.601,107.91
39.0,1751.7,5.108,24.08,5.078,108.02
40.0,1788.9,6.029,18.69,5.060,111.30
